d0_endpoint_id,upstream_candidate,portability,required_same_endpoint_definition,required_same_units,required_same_biological_interpretation,requires_population_season_bridge,combination_rule,status,notes
D0_Q1_Z,Qp.max_z_relative_change,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Also compare Qg max_z_relative_change and the coordinate-preservation ceiling from Qz spacing"
D0_Q1_Z,Qg.max_z_relative_change,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Cannot reuse if Qg margin was method-specific rather than biological-neutrality based"
D0_Q1_OPENING,Qz.max_opening_width_relative_change,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Requires same opening-width definition and pollination-neutrality rationale"
D0_Q1_OPENING,Qp.max_opening_width_relative_change,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Use only after upstream margin is prospectively frozen"
D0_Q1_ORIENTATION,Qz.max_flower_orientation_change_deg,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Requires same orientation reference frame"
D0_Q1_DAMAGE,Qg.max_damage_rate_difference,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Requires same damage scoring and downstream consequence interpretation"
D0_Q1_DAMAGE,Qp.max_mechanical_damage_rate,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Do not transport handling-specific threshold if apparatus damage mechanism differs"
D0_Q3_VISIT,Qg.max_pollinator_visit_relative_change,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Same visit metric and neutrality definition required"
D0_Q3_POLLEN,Qg.max_pollen_grain_relative_change,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Same pollen-receipt scale required"
D0_Q3_INITIAL_SEED,Qg.max_initial_seed_set_difference,CONDITIONAL,true,true,true,true,USE_STRICTER_VALID_BOUND,CANDIDATE,"Same initial seed-set definition and comparison horizon required"
D0_Q1_STIGMA,NONE,NEW_D0_MARGIN_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"No registered upstream equivalent currently identified"
D0_Q2_VOLUME,NONE,NEW_FUNCTIONAL_MARGIN_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"Upstream water-y preservation is not D0-D benefit matching"
D0_Q2_DURATION,NONE,NEW_FUNCTIONAL_MARGIN_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"Must be tied to attack-window protection"
D0_Q2_COVERAGE,NONE,NEW_FUNCTIONAL_MARGIN_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"Requires coverage-to-protection calibration"
D0_Q2_PROTECTION,NONE,NEW_FUNCTIONAL_MARGIN_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"Direct D0-D protection equivalence"
D0_Q4_WET_EFFECT,NONE,NEW_MINIMUM_EFFECT_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"Biologically useful retention-mediated protection effect"
D0_Q4_DRY_RESIDUAL,NONE,NEW_CONTAMINATION_MARGIN_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"D0-specific physical-exclusion residual"
D0_Q5_BURDEN_EQ,NONE,NEW_DECISION_MARGIN_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"Route Q5-E only"
D0_Q5_BURDEN_PRECISION,NONE,NEW_DECISION_PRECISION_REQUIRED,false,false,false,false,NOT_APPLICABLE,OPEN,"Route Q5-A only"
D0_Q6_HORIZON,REGISTERED_COMMON_HORIZON,DIRECT_DESIGN_IDENTITY,true,true,true,false,EXACT_MATCH,READY,"No numerical tolerance"
